id,id_OSM,distance,lat_OSM,lon_OSM,coord_OSM,DISTRITO,BARRIO,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,coord
36344,3627378736,7.185455952365722,40.3448547,-3.7128183,"(40.344854699999999, -3.7128182999999999)",VILLAVERDE,SAN ANDRÉS,MU-15B,"439459,4693","4466270,482",-3.7128353118896484,40.344791412353516,"(40.344791, -3.7128353)"
61246,3627378737,5.60827493082452,40.3448798,-3.7127653,"(40.344879800000001, -3.7127653)",VILLAVERDE,SAN ANDRÉS,MU-15A,"439468,4693","4466275,482",-3.7127299308776855,40.3448371887207,"(40.344837, -3.7127299)"
61269,3637128597,8.402361200556344,40.3511177,-3.695485,"(40.351117700000003, -3.6954850000000001)",VILLAVERDE,LOS ANGELES,MU-16,"440942,4716","4466968,468",-3.695439577102661,40.3511848449707,"(40.351185, -3.6954396)"
55793,3637128597,5.779270917942987,40.3511177,-3.695485,"(40.351117700000003, -3.6954850000000001)",VILLAVERDE,LOS ANGELES,MU-16,"440937,4714","4466955,468",-3.6954972743988037,40.35106658935547,"(40.351067, -3.6954973)"
39594,3637128606,8.418202127918274,40.3512139,-3.6952791,"(40.351213899999998, -3.6952791)",VILLAVERDE,LOS ANGELES,MU-16,"440964,4715","4466970,468",-3.695180654525757,40.35120391845703,"(40.351204, -3.6951807)"
262,3637128618,6.060353158876757,40.3513649,-3.6942796,"(40.3513649, -3.6942796000000002)",VILLAVERDE,LOS ANGELES,MU-17,"441035,4714","4466985,467",-3.6943461894989014,40.35134506225586,"(40.351345, -3.6943462)"
49364,3637128618,5.282514013588093,40.3513649,-3.6942796,"(40.3513649, -3.6942796000000002)",VILLAVERDE,LOS ANGELES,MU-17,"441036,4715","4466990,467",-3.6943347454071045,40.35138702392578,"(40.351387, -3.6943347)"
16356,3666910216,8.506326540527638,40.4095255,-3.7038285,"(40.409525500000001, -3.7038285000000002)",CENTRO,EMBAJADORES,BA-45,"440285,5802","4473442,438",-3.7037808895111084,40.40945816040039,"(40.409458, -3.7037809)"
55870,3666910216,6.150994624186314,40.4095255,-3.7038285,"(40.409525500000001, -3.7038285000000002)",CENTRO,EMBAJADORES,BA-45,"440284,5802","4473444,438",-3.7037930488586426,40.40947723388672,"(40.409477, -3.703793)"
46211,3666910221,8.873740592731583,40.4096137,-3.7035898,"(40.409613700000001, -3.7035898)",CENTRO,EMBAJADORES,BA-45,"440296,5801","4473452,438",-3.7036523818969727,40.409549713134766,"(40.40955, -3.7036524)"
33146,3666910221,7.5504830326805425,40.4096137,-3.7035898,"(40.409613700000001, -3.7035898)",CENTRO,EMBAJADORES,BA-45,"440295,5802","4473455,438",-3.7036643028259277,40.409576416015625,"(40.409576, -3.7036643)"
45373,3666910223,6.833109851549948,40.4096299,-3.7035998,"(40.409629899999999, -3.7035998000000001)",CENTRO,EMBAJADORES,BA-45,"440294,5802","4473459,438",-3.703676462173462,40.409610748291016,"(40.409611, -3.7036765)"
22589,3666922926,7.030358444895175,40.40967,-3.7036243,"(40.409669999999998, -3.7036243)",CENTRO,EMBAJADORES,BA-45,"440293,5802","4473461,438",-3.703688383102417,40.409629821777344,"(40.40963, -3.7036884)"
40483,3666922928,6.554744766580344,40.4096887,-3.7036357,"(40.409688699999997, -3.7036357)",CENTRO,EMBAJADORES,BA-45,"440292,5802","4473464,438",-3.703700542449951,40.4096565246582,"(40.409657, -3.7037005)"
29092,3666922930,5.768899697297486,40.4097059,-3.7036462,"(40.409705899999999, -3.7036462000000001)",CENTRO,EMBAJADORES,BA-45,"440291,5802","4473468,438",-3.7037127017974854,40.40969467163086,"(40.409695, -3.7037127)"
63702,3666922933,9.543973818555898,40.409732,-3.7033867,"(40.409731999999998, -3.7033866999999998)",CENTRO,EMBAJADORES,BA-45,"440325,58","4473465,437",-3.7033116817474365,40.40966796875,"(40.409668, -3.7033117)"
30694,3666922933,9.543807576647547,40.409732,-3.7033867,"(40.409731999999998, -3.7033866999999998)",CENTRO,EMBAJADORES,BA-45,"440321,58","4473463,437",-3.7033586502075195,40.40964889526367,"(40.409649, -3.7033587)"
